br_code,supplier_code,item_Details,qty_value,supplier_name,item_Count,qty,rate_Details,rate_sum,total_sum,sr_no,Purchase_Order_no
503,S15249,"[206628, 211698]","[4, 4]",PARAM CORPORATION,2,"[4, 4]","[60.11, 61.88]",121.99000000000001,487.96,148,
503,S15429,"[201308, 201309, 201311, 202374, 206271, 206272]","[40, 40, 40, 80, 4, 40]",INDIANA HEALTHCARE,6,"[4, 4, 4, 4, 4, 4]","[0.0, 27.8, 35.6, 24.4, 0.0, 8.0]",95.8,383.2,149,
503,S15834,"[202446, 203057, 206212, 208212, 210125, 210126, 211260, 211261, 211275]","[40, 40, 4, 4, 60, 60, 4, 4, 60]",UNIVERSAL NUTRISCIENCE PVT LTD (TADING),9,"[4, 4, 4, 4, 4, 4, 4, 4, 4]","[19.0, 305.1, 57.54, 68.45, 225.9, 209.4, 203.21, 0.0, 125.7]",1214.3,4857.2,150,
503,S16128,"[200086, 200087, 200197, 201685, 202192, 202789, 202790, 202879, 204462, 204463, 204464, 204465, 204468, 205483, 205484, 206160, 206161, 207171, 207312, 207313, 207314, 207315, 207813, 208411, 209195]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",HASMUKHLAL AND SONS,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[63.2, 18.75, 60.89, 10.86, 22.12, 20.1, 69.84, 22.49, 214.09, 109.66, 15.67, 830.17, 428.48, 33.74, 19.69, 5.62, 19.69, 23.27, 24.75, 45.96, 84.86, 159.11, 67.78, 35.81, 39.03]",3138.65,9782.52,151,
503,S16128,"[209196, 209580, 211428, 212760, 214857, 216333, 216843, 217281]","[4, 4, 4, 4, 4, 4, 4, 4]",HASMUKHLAL AND SONS,8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[68.9, 14.29, 96.7, 35.06, 112.45, 37.77, 183.21, 144.64]",3138.65,2772.08,152,
503,S16165,"[200840, 203149, 203150, 203346, 203635, 203637, 204853, 204854, 208366, 208367, 211817, 212707, 217183]","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",SERVIER INDIA PRIVATE LIMITED,13,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[140.0, 98.4, 115.5, 107.0, 59.1, 65.3, 70.0, 101.8, 67.2, 93.3, 89.8, 163.4, 149.7]",1320.5,5282.0,153,
503,S17213,"[200203, 201009, 201010, 201011, 201012, 201015, 201041, 201565, 201749, 201922, 202183, 202184, 202185, 202442, 202638, 202639, 202836, 202837, 202838, 202839, 202840, 202843, 203000, 203001, 203002]","[4, 56, 56, 56, 56, 56, 40, 40, 4, 4, 40, 40, 40, 4, 40, 40, 4, 4, 4, 4, 4, 4, 4, 40, 40]",ZYDUS HEALTHCARE LIMITED,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[334.48, 38.92, 18.9, 21.0, 107.94, 17.92, 138.9, 185.8, 70.52, 53.32, 81.0, 29.6, 54.3, 182.97, 0.0, 25.3, 91.34, 41.5, 97.23, 37.76, 89.7, 106.29, 17.04, 104.8, 27.0]",10468.39,7894.12,154,
503,S17213,"[203401, 203402, 203403, 203476, 203499, 203580, 203808, 203809, 204000, 204010, 204357, 204358, 204617, 205419, 205420, 205612, 206251, 206532, 206534, 206535, 207079, 207346, 207347, 207348, 207674]","[4, 4, 4, 120, 4, 4, 40, 40, 4, 4, 4, 4, 4, 120, 4, 4, 4, 4, 40, 20, 20, 40, 40, 40, 16]",ZYDUS HEALTHCARE LIMITED,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[180.0, 430.71, 263.57, 20.4, 5.79, 7.33, 65.1, 0.0, 177.08, 87.69, 112.87, 7.64, 157.15, 147.0, 132.49, 201.06, 23.91, 64.61, 27.9, 77.3, 0.0, 65.6, 121.1, 133.6, 0.0]",10468.39,10039.6,155,
503,S17213,"[208371, 208372, 209095, 209343, 209345, 209558, 209674, 209675, 209676, 210124, 210199, 210200, 210267, 212104, 212105, 212303, 212304, 212357, 212358, 212423, 212424, 212575, 212576, 212577, 212699]","[40, 40, 40, 40, 40, 40, 16, 16, 16, 40, 4, 4, 40, 4, 4, 4, 4, 4, 4, 40, 40, 40, 4, 4, 4]",ZYDUS HEALTHCARE LIMITED,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[131.4, 179.1, 147.7, 0.0, 64.3, 203.0, 139.36, 119.24, 61.76, 36.6, 148.18, 238.31, 338.0, 141.3, 223.3, 293.19, 147.55, 133.46, 85.21, 40.0, 91.9, 34.7, 6.88, 15.42, 126.65]",10468.39,12586.04,156,
503,S17213,"[213503, 213504, 213533, 213927, 213928, 213930, 213938, 214536, 215175, 215529, 216255, 217127, 217132, 217133, 217136, 217137, 217138, 217139, 217140, 217587, 217820, 217849, 218159, 218431, 218859]","[40, 40, 4, 40, 40, 40, 4, 40, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 4, 40, 40, 4, 40]",ZYDUS HEALTHCARE LIMITED,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[126.4, 0.0, 24.4, 84.8, 179.2, 20.9, 235.74, 29.5, 218.14, 80.91, 0.0, 15.45, 202.17, 287.2, 134.36, 101.93, 127.45, 172.8, 281.57, 0.0, 0.0, 58.2, 51.2, 308.33, 77.1]",10468.39,11271.0,157,
